id,type,value,parent_id,indelible
'a90ac8b7-adc8-46ac-83cb-b01aebcb0130','ALLOWED_USING_TYPE','Административные здания организаций, обеспечивающих предоставление коммунальных услуг',null,null
'fc33f739-08a2-4bcd-a73e-7978115565da','ALLOWED_USING_TYPE','Социальное обслуживание',null,null
'b8d90e20-2441-4fdd-8df1-9cd027335eea','ALLOWED_USING_TYPE','Дома социального обслуживания',null,null
'461ee1a7-072f-42ba-95e0-7f6482bd5b10','ALLOWED_USING_TYPE','Оказание социальной помощи населению',null,null
'59ea2d0a-c49b-4cd0-bd74-0470bed2bf30','ALLOWED_USING_TYPE','Оказание услуг связи',null,null
'1a28de41-a35e-4c62-aa5c-e1895bac076e','ALLOWED_USING_TYPE','Общежития',null,null
'fb476ef7-380c-4d81-9069-b5440c13a77f','ALLOWED_USING_TYPE','Бытовое обслуживание',null,null
'd2f7ee3b-b51b-40e8-8504-e4be3c84c12e','ALLOWED_USING_TYPE','Здравоохранение',null,null
'ca15e5c3-3c80-40a6-a8be-c31e448e7be7','ALLOWED_USING_TYPE','Амбулаторно-поликлиническое обслуживание',null,null
'2f517148-d044-48c5-9c3e-0393d1893ef8','ALLOWED_USING_TYPE','Стационарное медицинское обслуживание',null,null
'84c3a532-af4c-47fe-a4f0-92c3518aad48','ALLOWED_USING_TYPE','Медицинские организации особого назначения',null,null
'5fa702ff-c940-4691-8c07-80b766e08233','ALLOWED_USING_TYPE','Образование и просвещение',null,null
'3c203a94-8b64-4d9e-b040-10621551bcbd','ALLOWED_USING_TYPE','Дошкольное, начальное и среднее общее образование',null,null
'b5e1d811-6754-4336-bb21-155623fc7d34','ALLOWED_USING_TYPE','Среднее и высшее профессиональное образование',null,null
'46c10eea-3554-419c-aea9-4aeed777648c','ALLOWED_USING_TYPE','Культурное развитие',null,null
'ee54e5f7-5327-4fb8-ac7c-39e5fc0cada1','ALLOWED_USING_TYPE','Объекты культурно-досуговой деятельности',null,null
'718cf45d-cc8d-487d-8932-19d969faa761','ALLOWED_USING_TYPE','Парки культуры и отдыха',null,null
'21c97087-c641-4db1-8a7e-2caed3aebde0','ALLOWED_USING_TYPE','Цирки и зверинцы',null,null
'ee3e61c1-0bb7-491d-9d64-7f0a06d61628','ALLOWED_USING_TYPE','Религиозное использование',null,null
'2b426153-1eb1-4a75-81e4-1008d822e012','ALLOWED_USING_TYPE','Осуществление религиозных обрядов',null,null
'404e2421-a0fb-449a-b437-ef0d0f8bd149','ALLOWED_USING_TYPE','Религиозное управление и образование',null,null
'7226cfd3-97d6-4868-bf80-254a9ea6b60d','ALLOWED_USING_TYPE','Общественное управление',null,null
'71637a63-417e-4657-9102-3a66db5051cd','ALLOWED_USING_TYPE','Государственное управление',null,null
'0cd70eb8-1df7-4a6d-872b-fd7bb4ff158c','ALLOWED_USING_TYPE','Представительская деятельность',null,null
'59f4504d-6c89-4753-a97c-009607c56978','ALLOWED_USING_TYPE','Обеспечение научной деятельности',null,null
'69b73f21-4019-4f77-8dc9-99fcb040839c','ALLOWED_USING_TYPE','Обеспечение деятельности в области гидрометеорологии и смежных с ней областях',null,null
'529f66b8-bc60-4d6e-b9f9-ad3de7c755d9','ALLOWED_USING_TYPE','Проведение научных исследований',null,null
'ffd92a11-05b6-40c0-bab8-002ca792b8e4','ALLOWED_USING_TYPE','Проведение научных испытаний',null,null
'72acce0d-60e9-48d5-9a0b-a6ef1c64e27e','ALLOWED_USING_TYPE','Ветеринарное обслуживание',null,null
'356525dc-5192-4473-9886-1e3e0ac344e0','ALLOWED_USING_TYPE','Амбулаторное ветеринарное обслуживание',null,null
'549d3e1d-1ae0-4056-8522-b6380e92be0e','ALLOWED_USING_TYPE','Приюты для животных',null,null
'a49949c3-1cd6-4286-84a5-8b20669c885b','ALLOWED_USING_TYPE','Предпринимательство',null,null
'4b261054-f0dc-4f36-9625-04ff684ca7d1','ALLOWED_USING_TYPE','Деловое управление',null,null
'6a3ead5f-6fbb-41aa-8a10-e56c083aef4c','ALLOWED_USING_TYPE','Объекты торговли (торговые центры, торгово-развлекательные центры (комплексы)',null,null
'ce7a27ee-2f31-471a-ab01-7407dd9975a4','ALLOWED_USING_TYPE','Рынки',null,null
'46e7022f-5be4-47ea-93a6-3ec32327fd37','ALLOWED_USING_TYPE','Магазины',null,null
'066f8a55-148a-4f47-9ab9-b6d1ddff1e3d','ALLOWED_USING_TYPE','Банковская и страховая деятельность',null,null
