id,type,value,parent_id
'2bbbcb25-175d-4a8a-980b-32a4b1685f42','SUBJECT_AREA','Старооскольский р-н','cf61c4f9-ab7d-4e30-a65e-840cbe0f0061'
'0d219fee-be65-4216-b41a-ab4926dbb685','SUBJECT_AREA','Старый Оскол г','cf61c4f9-ab7d-4e30-a65e-840cbe0f0061'
'15b7111e-404a-4531-a878-7c5dc5191549','SUBJECT_AREA','Чернянский р-н','cf61c4f9-ab7d-4e30-a65e-840cbe0f0061'
'1bdcde40-ccc8-4831-930a-3a296c22e5df','SUBJECT_AREA','Шебекино г','cf61c4f9-ab7d-4e30-a65e-840cbe0f0061'
'b15145b6-a0df-41e6-9255-18404653d281','SUBJECT_AREA','Шебекинский р-н','cf61c4f9-ab7d-4e30-a65e-840cbe0f0061'
'fce91e77-e6e8-47b3-b215-73194c08b45c','SUBJECT_AREA','Яковлевский р-н','cf61c4f9-ab7d-4e30-a65e-840cbe0f0061'
'ba942160-25ab-4ffc-9521-3d70dc00033f','SUBJECT_AREA','Брасовский р-н','5adf6784-f86e-43ab-8618-921cbaa1625b'
'efe4149c-1e48-45f2-86c3-6337e6c18678','SUBJECT_AREA','Брянск г','5adf6784-f86e-43ab-8618-921cbaa1625b'
'0efd387d-1ad5-4276-81a3-ff896cf7a972','SUBJECT_AREA','Брянский р-н','5adf6784-f86e-43ab-8618-921cbaa1625b'
'cfa0cf7c-a6e1-4b3e-88b8-06b94b3b2ed3','SUBJECT_AREA','Выгоничский р-н','5adf6784-f86e-43ab-8618-921cbaa1625b'
'9dd1e6af-e4ef-48a5-b296-9fe6639e95bd','SUBJECT_AREA','Гордеевский р-н','5adf6784-f86e-43ab-8618-921cbaa1625b'
'6d6a35c7-1b1b-47d1-be2d-945e42a80821','SUBJECT_AREA','Дубровский р-н','5adf6784-f86e-43ab-8618-921cbaa1625b'
